post_title,post_content,published_pages,published_issue,authors,post_date,post_author,post_type
"El Hombre, Juegos and Pedagogies of Experience",,6-17,2011,Menelik Tafari,2013-12-01 01:11:11,lkbgift,paper
Can Active Citizenship Be Learned?,,20-23,2011,Dr. Namrata Sharma,2013-12-01 01:11:11,lkbgift,paper
An Overview of the Editions of Soka Kyouikugaku Taikei,,24-29,2011,Simon Hoffding,2013-12-01 01:11:11,lkbgift,paper
Soka Kyouikugaku Taikei and Education for Creative Living: How Makiguchi's Educational Ideas are Presented in English,,30-43,2011,Nozomi Inukai,2013-12-01 01:11:11,lkbgift,paper
Challenges and Possibilities for Soka Education Research in Translation,,44-52,2011,Gonzalo Obelleiro,2013-12-01 01:11:11,lkbgift,paper
"Conditions of Creativity: A Reading of Descartes, Kant, and Leibniz in the Context of Soka Education",,53-62,2011,Simon Hoffding,2013-12-01 01:11:11,lkbgift,paper
Education in Rural El Salvador: Looking at Rural Development through Soka Education,,63-68,2011,Garrett Braun,2013-12-01 01:11:11,lkbgift,paper
"Academic Sovereignty, Technology, and Soka Education: From a Culture of War towards a Culture of Peace",,69-78,2011,Ryan Hayashi,2013-12-01 01:11:11,lkbgift,paper
Science Education for Value Creation,,79-83,2011,Tyko Shoji and Scott Williams,2013-12-01 01:11:11,lkbgift,paper
Soka Journalism Education: On Value Creative Subjectivity,,84-89,2011,Jihii Jolly,2013-12-01 01:11:11,lkbgift,paper
Exploring the Narrative Approach,,90-97,2011,Julie Nagashima,2013-12-01 01:11:11,lkbgift,paper
Soka Education Research in China: Possible Contributions of Soka Education to Educational Reformation in China,,98-124,2011,Nozomi Inukai,2013-12-01 01:11:11,lkbgift,paper
Creating Sustainability in an Urban School: A Lotus Out of Muck,,125-129,2011,Patrick Noon,2013-12-01 01:11:11,lkbgift,paper
From Local to Global: Soka Education's Potential for Sustainable Development in Ecuador and Beyond,,130-139,2011,Yui Takishima,2013-12-01 01:11:11,lkbgift,paper
Environmental Department: An Example of Soka Education at SUA,,140-147,2011,Kevin (Cheng-Kuan) Kan,2013-12-01 01:11:11,lkbgift,paper
Global Citizenship as an Educative Ideal,,148-150,2011,Kenji Yamada,2013-12-01 01:11:11,lkbgift,paper
The Power of Failure: An Odyssey into the Meaning of Success,,151-157,2011,Jean Marcus,2013-12-01 01:11:11,lkbgift,paper
Education for Social Consciousness: Hip Hop Pedagogy and Soka Education,,158-168,2011,Simone Barclay and Ryan Hayashi (Hip Hop Congress),2013-12-01 01:11:11,lkbgift,paper
A Value-Creating Conception of Appreciation,,169-177,2011,Karina Kleiman and Gonzalo Obelleiro,2013-12-01 01:11:11,lkbgift,paper
Critical Play: A Tool for Communal Inquiry and Agency,,7-25,2012,Menelik Tafari,2013-12-02 01:11:11,lkbgift,paper
Exploring the Validity of Videogames as a Source and Tool for Value Creation,,26-36,2012,Aaron Freedman,2013-12-03 01:11:11,lkbgift,paper
Makiguchi Translation: Research into Community Studies as the Integrating Focus of Instruction,,37-54,2012,"Ryan Hayashi, Takako Masui, Ritsuko, Rita, and Satomi Ueno",2013-12-04 01:11:11,lkbgift,paper
An Ecology of Human Life,,55-64,2012,Nathaniel Maynard and Yui Takishima,2013-12-05 01:11:11,lkbgift,paper
Exploring the Creation of Soka and Steiner Education: A Comparative Study of Tsunesaburo Makiguchi and Rudolf Steiner,,65-73,2012,Kazuhiro Iguchi,2013-12-06 01:11:11,lkbgift,paper
The Compatible and Complimentary Principles and Functions of Positive Psychology and Soka Education: Empirical Measures of Happiness and a Global Ethos,,74-87,2012,Koichi Yoshikawa,2013-12-07 01:11:11,lkbgift,paper
"The Purpose of Education: Montaigne, Makiguchi, Nietzche",,88-94,2012,Alessandra Aristimuno,2013-12-08 01:11:11,lkbgift,paper
Analyzing the Development of Makiguchi‘s Value-Creating Education: It‘s Relation to Nichiren Buddhism,,95-103,2012,Nozomi Inukai,2013-12-09 01:11:11,lkbgift,paper
From George Orwell to Media Literacy: Soka Education for Informed Media Consumers,,104-116,2012,Jihii Jolly,2013-12-10 01:11:11,lkbgift,paper
From a Philosophy to a Methodology: Implementing Soka Pedagogy in Math Instruction for At-Risk Youth,,14-32,2013,Ryan Hayashi,2013-12-11 01:11:11,lkbgift,paper
A New Physical Education: The Philosophy  of Children’s Fitness Centers,,33-42,2013,Simone Barclay,2013-12-12 01:11:11,lkbgift,paper
"For SUA to Survive the 21st Century as a University for the People: Learning from the History of a Pre-War Japanese Liberal Arts School, Kyusei Dai Ichi  K_t_ Gakk_",,43-55,2013,Yu Hirano and Satoshi Inuzuka,2013-12-13 01:11:11,lkbgift,paper
"Soka Education goes Civic: Creating a Value Creative, Engaged Culture",,56-70,2013,Menelik Tafari and Dr. Carlos Valverde,2013-12-14 01:11:11,lkbgift,paper
The Ensemble in Educating Cosmopolitanism,,71-89,2013,Elaine Sandoval,2013-12-15 01:11:11,lkbgift,paper
Tsunesaburo Makiguchi’s Naturalistic Value Theory,,90-106,2013,Dr. Ryo Chonabayashi,2013-12-16 01:11:11,lkbgift,paper
Implementing Queer Theory and Gender Variation into the Public School System Using Soka Pedagogy,,107-132,2013,Natalie De Leon,2013-12-17 01:11:11,lkbgift,paper
Soka Education and Digital Education Technologies: Massively Open Online Courses,,133-146,2013,Leonard Bogdonoff,2013-12-18 01:11:11,lkbgift,paper
Education of Life: Perspectives toward Global Contribution of Soka Education,,147-157,2013,Emiliano Bosio,2013-12-19 01:11:11,lkbgift,paper
Literary Genres Matter,,158-166,2013,Jean Marcus and Garrett Braun,2013-12-20 01:11:11,lkbgift,paper
The challenge of consistency: human rights consciousness at Soka University of America,,7-12,2005,Masako Delalieu,2013-12-21 01:11:11,lkbgift,paper
A Humanistic Approach to Moral Education,,13-18,2005,"Nobuko Kainuma, Mitsuko Matsumoto, Suh Jin Park, Maria Sanhez",2013-12-22 01:11:11,lkbgift,paper
The Effect of Class Size on Teaching Methodology: An Examination of Williams College’s Tutorial Program,,19-22,2005,Ryo Kondo,2013-12-23 01:11:11,lkbgift,paper
Study abroad and being a global citizen,,23-28,2005,Xiaoxing Liu,2013-12-24 01:11:11,lkbgift,paper
“Globalism and Citizenship: Private Thoughts,,29-34,2005,Jim Merod,2013-12-25 01:11:11,lkbgift,paper
The lifelong Happiness of the Learner: a Holistic Approach to Education,,35-40,2005,Candela Montero,2013-12-26 01:11:11,lkbgift,paper
Actualizing Soka Education,,41-46,2005,Jennifer Ohrstrom,2013-12-27 01:11:11,lkbgift,paper
Experiential Learning: An Integral Part of the Present and Future Soka Education,,47-52,2005,Jocelyn Parkhurst,2013-12-28 01:11:11,lkbgift,paper
Makiguchi & Freire: The role of education for social change,,53-59,2005,Maria Sanchez,2013-12-29 01:11:11,lkbgift,paper
Looking Beyond Economics – Approach for an Alternative Sustainable Future,,7-14,2006,Kajal Gulati,2013-12-30 01:11:11,lkbgift,paper
"Imperatives for Student Leadership and Sustainable Development in Education: Teacher Renewal, Training, and Retraining",,15-24,2006,Gail Thomas,2013-12-31 01:11:11,lkbgift,paper
The Role of Language Education in Sustainable Development,,25-32,2006,"Maria Sanchez, Greg Linderman",2014-01-01 01:11:11,lkbgift,paper
Fostering Positive Human Relations,,33-38,2006,Xiaoxing Liu,2014-01-02 01:11:11,lkbgift,paper
“The Role of Education for the 21st Century Sustainable Development,,39-48,2006,Sayaka Sugahara,2014-01-03 01:11:11,lkbgift,paper
Developing Sustainability,,49-60,2006,Aditi Rao,2014-01-04 01:11:11,lkbgift,paper
"Soka Education and Sustainable Society: Creative Understanding, Value Creation, and Their Effect on Social Change",,61-72,2006,Michael Strand,2014-01-05 01:11:11,lkbgift,paper
Imaginative Empathy in Daisaku Ikeda’s Philosophy of Soka Education,,73-85,2006,Gonzalo Obellerio,2014-01-06 01:11:11,lkbgift,paper
Actualizing Soka Education at SUA: Soka Community Fostering the Leaders of Civil Society,,1-9,2007,"Kamron Jafari, Atsushi Kukita, Hideaki Yanashima",2014-01-07 01:11:11,lkbgift,paper
Transforming the Role of Religion: Synergy and Collaboration of Religious Values in our Global Context,,10-14,2007,Masashiro Kaleo Louis,2014-01-08 01:11:11,lkbgift,paper
Implementing the Looping System in Public Schools,,15-25,2007,Kazumi Yamada,2014-01-09 01:11:11,lkbgift,paper
Museum Education: Creating Value with Art,,26-33,2007,Leema Yamada,2014-01-10 01:11:11,lkbgift,paper
Women and Education: the Pillars for Building a Better Tomorrow,,34-42,2007,Gilla Family,2014-01-11 01:11:11,lkbgift,paper
What’s the Matter with Kids Today?,,43-50,2007,Russel Dalton,2014-01-12 01:11:11,lkbgift,paper
Teacher-Student Relationship as a Philosophy of Education,,7-13,2008,Julie Nagashima,2014-01-13 01:11:11,lkbgift,paper
A Dialogical Vision of the Self as Core Element of a Cosmopolitan Orientation,,14-20,2008,Gonzalo Obelleiro,2014-01-14 01:11:11,lkbgift,paper
Intellectual Emancipation and Creative Revolution: The Role of Education in Empowering Culture Creators,,21-27,2008,Michael Strand,2014-01-15 01:11:11,lkbgift,paper
Field Study Report: Putting Soka Education in Practice,,28-33,2008,SuhJin Park,2014-01-16 01:11:11,lkbgift,paper
