Id,Label,Title,Issue,Author
1,,Exploring the Validity of Videogames as a Source and Tool for Value Creation,2012," Aaron Freedman "
2,,Developing Sustainability,2006," Aditi Rao "
3,,The Purpose of Education: Montaigne Makiguchi Nietzche,2012," Alessandra Aristimuno "
4,,Actualizing Soka Education at SUA: Soka Community Fostering the Leaders of Civil Society,2007," Atsushi Kukita"
5,,The lifelong Happiness of the Learner: a Holistic Approach to Education,2005," Candela Montero "
6,,Dialogic Educational Practice for Development and Becoming,2014," Cassidy Bradford "
7,,Democracy and Freedom of Speech: A Right vs. A Responsibility,2009," Cliff Tanaka"
8,,The Fetishism of Democracy and Soka Education,2009," David Witkowski "
9,,Soka Education goes Civic: Creating a Value Creative Engaged Culture,2013," Dr. Carlos Valverde"
10,,Soka Education for Social Justice,2010," Dr. Jim Garrison "
11,,Can Active Citizenship Be Learned?,2011," Dr. Namrata Sharma "
12,,Tsunesaburo Makiguchi,2013," Dr. Ryo Chonabayashi "
13,,Music Education: Social Justice through Creativity and Inclusion,2010," Elaine Chang Sandoval "
14,,The Ensemble in Educating Cosmopolitanism,2013," Elaine Chang Sandoval "
15,,Education of Life: Perspectives toward Global Contribution of Soka Education,2013," Emiliano Bosio "
16,,Humanitarian Competition: Re-Writing the Tragedies of the Commons and Anti-Commons,2010," Eric Kunimoto "
17,,Education and the Revolutionary Process in Venezuela,2008," Fabiana Sanchez "
18,,Democracy and Freedom of Speech: A Right vs. A Responsibility,2009," Fumihiko Tominaga "
19,,Science Education for Value Creation,2011," G. Scott Williams"
20,,The Development of Ethics in a Globalized Society,2009," G. Scott Williams"
21,,Imperatives for Student Leadership and Sustainable Development in Education: Teacher Renewal Training and Retraining,2006," Gail Thomas "
22,,Literary Genres Matter,2013," Garrett Braun"
23,,Education in Rural El Salvador: Looking at Rural Development through Soka Education,2011," Garrett Braun"
24,,Women and Education: the Pillars for Building a Better Tomorrow,2007," Gilla Family "
25,,A Value-Creating Conception of Appreciation,2011," Gonzalo Obelleiro"
26,,Daisaku Ikeda,2010," Gonzalo Obelleiro"
27,,A Dialogical Vision of the Self as Core Element of a Cosmopolitan Orientation,2008," Gonzalo Obelleiro"
28,,Challenges and Possibilities for Soka Education Research in Translation,2011," Gonzalo Obelleiro"
29,,Imaginative Empathy in Daisaku Ikeda,2006," Gonzalo Obelleiro"
30,,The Role of Language Education in Sustainable Development,2006," Greg Linderman "
31,,Actualizing Soka Education at SUA: Soka Community Fostering the Leaders of Civil Society,2007," Hideaki Yanashima "
32,,Literary Genres Matter,2013," Jean Marcus Silva "
33,,Soka Education for Laws: Choosing Process over Frame: An Ode to Abandon Fear and Accept the Universe,2010," Jean Marcus Silva "
34,,The Power of Failure: An Odyssey into the Meaning of Success,2011," Jean Marcus Silva "
35,,Votes to Grades: A Comparative Study on Democratic Decisions in Modern Society,2009," Jean Marcus Silva "
36,,Creating Value Through Art in Action: A Documentary of Edu-Culture and Hip Hop in Ecuador,2014," Jennifer Hayashi "
37,,The Combination of Manual and Intellectual Labor in Education for Social Transformation,2008," Jennifer Numagami "
38,,Actualizing Soka Education,2005," Jennifer Ohrstrom "
39,,From George Orwell to Media Literacy: Soka Education for Informed Media Consumers,2012," Jihii Jolly "
40,,Soka Journalism Education: On Value Creative Subjectivity,2011," Jihii Jolly "
41,,Globalism and Citizenship: Private Thoughts,2005," Jim Merod "
42,,Experiential Learning: An Integral Part of the Present and Future Soka Education,2005," Jocelyn Parkhurst "
43,,Teacher-Student Relationship as a Philosophy of Education,2008," Julie Nagashima "
44,,Exploring the Narrative Approach,2011," Julie Nagashima "
45,,Establishing Social Justice through Education for Women: Evidence from Self-Help Groups in India,2010," Kajal Gulati "
46,,Looking Beyond Economics _ Approach for an Alternative Sustainable Future,2006," Kajal Gulati "
47,,Actualizing Soka Education at SUA: Soka Community Fostering the Leaders of Civil Society,2007," Kamron Jafari"
48,,A Value-Creating Conception of Appreciation,2011," Karina Kleiman "
49,,School on a Hill: Soka Rural America and the Transformative Power of Education,2014," Kazuhiro Iguchi "
50,,Exploring the Creation of Soka and Steiner Education: A Comparative Study of Tsunesaburo Makiguchi and Rudolf Steiner,2012," Kazuhiro Iguchi "
51,,Implementing the Looping System in Public Schools,2007," Kazumi Yamada "
52,,Global Citizenship as an Educative Ideal,2011," Kenji Yamada "
53,,Environmental Department: An Example of Soka Education at SUA,2011," Kevin (Cheng-Kuan) Kan "
54,,Education Revolution and Contribution: My Perspective on the History of Latin America and the Universal Philosophy of Soka Education,2008," Koichi Hagimoto "
55,,The Compatible and Complimentary Principles and Functions of Positive Psychology and Soka Education: Empirical Measures of Happiness and a Global Ethos,2012," Koichi Yoshikawa "
56,,Realizing Soka Education,2014," Krishanda Williams "
57,,Museum Education: Creating Value with Art,2007," Leema Yamada "
58,,Soka Education and Digital Education Technologies: Massively Open Online Courses,2013," Leonard Bogdonoff "
59,,Social Justice Begins in Kindergarten _ Fostering Respect,2010," Lisa McMillan"
60,,The Role of Language Education in Sustainable Development,2006," Maria Sanchez"
61,,Soka Education as Literary Genre Maria Sanchez,2014," Maria Sanchez"
62,,Makiguchi &#038; Freire: The role of education for social change,2005," Maria Sanchez"
63,,A Humanistic Approach to Moral Education,2005," Maria Sanchez"
64,,The challenge of consistency: human rights consciousness at Soka University of America,2005," Masako Delalieu "
65,,Raising Language Awareness: Teaching Sociolinguistics for the Realization of Human Equality,2008," Masako Iwamoto"
66,,Ecological Value-Creation and Political Transformation,2009," Masashiro Kaleo Louis "
67,,Revolutionizing the Corporate World: Ethical Humanistic and Ecological Thinking in Corporations,2008," Masashiro Kaleo Louis "
68,,Transforming the Role of Religion: Synergy and Collaboration of Religious Values in our Global Context,2007," Masashiro Kaleo Louis "
69,,Media and Democracy: Creating Value Creating Contents in the 21st Century,2009," Masataka Ito "
70,,Dialogic Educational Practice for Development and Becoming,2014," Melissa Bradford"
71,,Critical Play: A Tool for Communal Inquiry and Agency,2012," Menelik Tafari "
72,,El Hombre Juegos and Pedagogies of Experience,2011," Menelik Tafari "
73,,Soka Education goes Civic: Creating a Value Creative Engaged Culture,2013," Menelik Tafari "
74,,Designing an ESP Course for University Administrative Staff Based on the Pedagogical Framework of Tsunesaburo Makiguchi,2014," Michael Strand "
75,,Makiguchi and Democracy: The Philosophy of Value-Creative Education in an Evolving World,2009," Michael Strand "
76,,Intellectual Emancipation and Creative Revolution: The Role of Education in Empowering Culture Creators,2008," Michael Strand "
77,,Soka Education and Sustainable Society: Creative Understanding Value Creation and Their Effect on Social Change,2006," Michael Strand "
78,,A Humanistic Approach to Moral Education,2005," Mitsuko Matsumoto"
79,,Youthful Leaders of Schools: An Annotated Bibliography,2009," Monte Joffee "
