'Refugee-Migrant Education and Soka Education: A Value-Creative Approach to Practicing Global Citizenship Education', '2014',  'Takako Yoshizawa' ,,,,
'Fostering Global Citizenship through Dramatic Art Rekha Gokhale', '2014',  'Rekha Gokhale' ,,,,
'Soka Education as Literary Genre Maria Sanchez', '2014',  'Maria Sanchez' ,,,,
'School on a Hill: Soka Rural America and the Transformative Power of Education', '2014',  'Kazuhiro Iguchi' ,,,,
'Designing an ESP Course for University Administrative Staff Based on the Pedagogical Framework of Tsunesaburo Makiguchi', '2014',  'Michael Strand' ,,,,
'Creating Value Through Art in Action: A Documentary of Edu-Culture and Hip Hop in Ecuador', '2014',  'Jennifer Hayashi' ,,,,
'Putting the Theory into Practice: Reflections on the Implementation of Soka Mathematics Education', '2014',  'Ryan Hayashi' ,,,,
'Realizing Soka Education', '2014',  'Padmini Hands,, Shanti Hands, Krishanda Williams' ,
'Dialogic Educational Practice for Development and Becoming', '2014',  'Melissa Bradford,, Cassidy Bradford' ,,
'Makiguchi', '2014',  'Ritsuko Rita' ,,,,
'Soka Education and Teacher Education in India: Restructuring the Life of a Teacher', '2014',  'Swati Raj' ,,,,
'Social Justice Begins in Kindergarten _ Fostering Respect', '2010',  'Lisa McMillan',, 'Rekha Gokhale' ,,
'Soka Education for Laws: Choosing Process over Frame: An Ode to Abandon Fear and Accept the Universe', '2010',  'Jean Marcus' ,,,,
'Establishing Social Justice through Education for Women: Evidence from Self-Help Groups in India', '2010',  'Kajal Gulati' ,,,,
'Daisaku Ikeda', '2010',  'Gonzalo Obelleiro' ,,,,
'Soka Education for Social Justice', '2010',  'Dr. Jim Garrison' ,,,,
'Advancing the Educational Experience of the Learner: SUA', '2010',  'Ruby Nagashima' ,,,,
'Music Education: Social Justice through Creativity and Inclusion', '2010',  'Elaine Chang Sandoval' ,,,,
'Humanitarian Competition: Re-Writing the Tragedies of the Commons and Anti-Commons', '2010',  'Eric Kunimoto' ,,,,
'Democracy and Freedom of Speech: A Right vs. A Responsibility', '2009',  'Cliff Tanaka',, 'Fumihiko Tominaga' ,,
'Media and Democracy: Creating Value Creating Contents in the 21st Century', '2009',  'Masataka Ito' ,,,,
'The Fetishism of Democracy and Soka Education', '2009',  'David Witkowski' ,,,,
'Comparative Analysis of Humanistic Educational Theories and Practices: Tsunesaburo Makiguchi and Carl Rogers', '2009',  'Sari Nakayama' ,,,,
'Autonomous Self-regulated Self-discovered Learning', '2009',  'Tana Gandhi' ,,,,
'Youthful Leaders of Schools: An Annotated Bibliography', '2009',  'Monte Joffee' ,,,,
'Makiguchi and Democracy: The Philosophy of Value-Creative Education in an Evolving World', '2009',  'Michael Strand' ,,,,
'Votes to Grades: A Comparative Study on Democratic Decisions in Modern Society', '2009',  'Jean Marcus Silva' ,,,,
'Ecological Value-Creation and Political Transformation', '2009',  'Masashiro Kaleo Louis' ,,,,
'The Development of Ethics in a Globalized Society', '2009',  'G. Scott Williams' ,,,,
'Education and the Revolutionary Process in Venezuela', '2008',  'Fabiana Sanchez' ,,,,
'The Combination of Manual and Intellectual Labor in Education for Social Transformation', '2008',  'Jennifer Numagami' ,,,,
'Education Revolution and Contribution: My Perspective on the History of Latin America and the Universal Philosophy of Soka Education', '2008',  'Koichi Hagimoto' ,,,,
'Raising Language Awareness: Teaching Sociolinguistics for the Realization of Human Equality', '2008',  'Masako Iwamoto',, 'Yuko Sugiyama' ,,
'Revolutionizing the Corporate World: Ethical Humanistic and Ecological Thinking in Corporations', '2008',  'Masashiro Kaleo Louis' ,,,,
'Field Study Report: Putting Soka Education in Practice', '2008',  'SuhJin Park' ,,,,
'Intellectual Emancipation and Creative Revolution: The Role of Education in Empowering Culture Creators', '2008',  'Michael Strand' ,,,,
'A Dialogical Vision of the Self as Core Element of a Cosmopolitan Orientation', '2008',  'Gonzalo Obelleiro' ,,,,
'Teacher-Student Relationship as a Philosophy of Education', '2008',  'Julie Nagashima' ,,,,
'What&#8217;s the Matter with Kids Today?', '2007',  'Russel Dalton' ,,,,
'Women and Education: the Pillars for Building a Better Tomorrow', '2007',  'Gilla Family' ,,,,
'Museum Education: Creating Value with Art', '2007',  'Leema Yamada' ,,,,
'Implementing the Looping System in Public Schools', '2007',  'Kazumi Yamada' ,,,,
'Transforming the Role of Religion: Synergy and Collaboration of Religious Values in our Global Context', '2007',  'Masashiro Kaleo Louis' ,,,,
'Actualizing Soka Education at SUA: Soka Community Fostering the Leaders of Civil Society', '2007',  'Kamron Jafari,, Atsushi Kukita, Hideaki Yanashima' ,
'Imaginative Empathy in Daisaku Ikeda', '2006',  'Gonzalo Obellerio' ,,,,
'Soka Education and Sustainable Society: Creative Understanding Value Creation and Their Effect on Social Change', '2006',  'Michael Strand' ,,,,
'Developing Sustainability', '2006',  'Aditi Rao' ,,,,
'The Role of Education for the 21st Century Sustainabile Development', '2006',  'Sayaka Sugahara' ,,,,
'Fostering Positive Human Relations', '2006',  'Xiaoxing Liu' ,,,,
'The Role of Language Education in Sustainable Development', '2006',  'Maria Sanchez,, Greg Linderman' ,,
'Imperatives for Student Leadership and Sustainable Development in Education: Teacher Renewal Training and Retraining', '2006',  'Gail Thomas' ,,,,
'Looking Beyond Economics _ Approach for an Alternative Sustainable Future', '2006',  'Kajal Gulati' ,,,,
'Makiguchi &#038; Freire: The role of education for social change', '2005',  'Maria Sanchez' ,,,,
'Experiential Learning: An Integral Part of the Present and Future Soka Education', '2005',  'Jocelyn Parkhurst' ,,,,
'Actualizing Soka Education', '2005',  'Jennifer Ohrstrom' ,,,,
'The lifelong Happiness of the Learner: a Holistic Approach to Education', '2005',  'Candela Montero' ,,,,
'Globalism and Citizenship: Private Thoughts', '2005',  'Jim Merod' ,,,,
'Study abroad and being a global citizen', '2005',  'Xiaoxing Liu' ,,,,
'The Effect of Class Size on Teaching Methodology: An Examination of Williams College', '2005',  'Ryo Kondo' ,,,,
'A Humanistic Approach to Moral Education', '2005',  'Nobuko Kainuma,, Mitsuko Matsumoto, Suh Jin Park, Maria Sanhez' 
'The challenge of consistency: human rights consciousness at Soka University of America', '2005',  'Masako Delalieu' ,,,,
'Literary Genres Matter', '2013',  'Garrett Braun',, 'Jean Marcus' ,,
'Education of Life: Perspectives toward Global Contribution of Soka Education', '2013',  'Emiliano Bosio' ,,,,
'Soka Education and Digital Education Technologies: Massively Open Online Courses', '2013',  'Leonard Bogdonoff' ,,,,
'Implementing Queer Theory and Gender Variation into the Public School System Using Soka Pedagogy', '2013',  'Natalie De Leon' ,,,,
'Tsunesaburo Makiguchi', '2013',  'Dr. Ryo Chonabayashi' ,,,,
'The Ensemble in Educating Cosmopolitanism', '2013',  'Elaine Sandoval' ,,,,
'Soka Education goes Civic: Creating a Value Creative Engaged Culture', '2013',  'Dr. Carlos Valverde',, 'Menelik Tafari' ,,
'For SUA to Survive the 21st Century as a University for the People: Learning from the History of a Pre-War Japanese Liberal Arts School Kyusei Dai Ichi K_t_ Gakk_', '2013',  'Satoshi Inuzuka',, 'Yu Hirano' ,,
'A New Physical Education: The Philosophy of Children', '2013',  'Simone Barclay' ,,,,
'From a Philosophy to a Methodology: Implementing Soka Pedagogy in Math Instruction for At-Risk Youth', '2013',  'Ryan Hayashi' ,,,,
'From George Orwell to Media Literacy: Soka Education for Informed Media Consumers', '2012',  'Jihii Jolly' ,,,,
'Analyzing the Development of Makiguchi', '2012',  'Nozomi Inukai' ,,,,
'The Purpose of Education: Montaigne Makiguchi Nietzche', '2012',  'Alessandra Aristimuno' ,,,,
'The Compatible and Complimentary Principles and Functions of Positive Psychology and Soka Education: Empirical Measures of Happiness and a Global Ethos', '2012',  'Koichi Yoshikawa' ,,,,
'Exploring the Creation of Soka and Steiner Education: A Comparative Study of Tsunesaburo Makiguchi and Rudolf Steiner', '2012',  'Kazuhiro Iguchi' ,,,,
'An Ecology of Human Life', '2012',  'Nathaniel Maynard',, 'Yui Takishima' ,,
'Makiguchi Translation: Research into Community Studies as the Integrating Focus of Instruction', '2012',  'Ritsuko Rita',, 'Ryan Hayashi', 'Satomi Ueno', 'Takako Masui' 
'Exploring the Validity of Videogames as a Source and Tool for Value Creation', '2012',  'Aaron Freedman' ,,,,
'Critical Play: A Tool for Communal Inquiry and Agency', '2012',  'Menelik Tafari' ,,,,
'A Value-Creating Conception of Appreciation', '2011',  'Gonzalo Obelleiro',, 'Karina Kleiman' ,,
'Education for Social Consciousness: Hip Hop Pedagogy and Soka Education', '2011',  'Ryan Hayashi',, 'Simone Barclay' ,,
'The Power of Failure: An Odyssey into the Meaning of Success', '2011',  'Jean Marcus' ,,,,
'Global Citizenship as an Educative Ideal', '2011',  'Kenji Yamada' ,,,,
'Environmental Department: An Example of Soka Education at SUA', '2011',  'Kevin (Cheng-Kuan) Kan' ,,,,
'From Local to Global: Soka Education&#8217;s Potential for Sustainable Development in Ecuador and Beyond', '2011',  'Yui Takishima' ,,,,
'Creating Sustainability in an Urban School: A Lotus Out of Muck', '2011',  'Patrick Noon' ,,,,
